GCF_030923435.1	4
GCF_030925355.1	4
GCF_009257425.1	11
GCF_030924755.1	4
GCF_009810955.1	4
GCF_009942155.1	4
GCF_001296735.1	4
GCF_009942395.1	4
GCF_002128085.1	4
GCF_009939845.1	4
GCF_009810495.1	4
GCF_030924475.1	4
GCF_030924655.1	4
GCF_030923695.1	4
GCF_030924815.1	4
GCF_030159415.1	4
GCF_002741785.2	11
GCF_000441755.1	11
GCF_000441815.1	11
GCF_019668825.1	11
GCF_027286205.1	11
GCF_000472225.1	11
GCF_002741825.2	11
GCF_000441795.1	11
GCF_019668705.1	11
GCF_019668605.1	11
GCF_000472205.1	11
GCF_019668665.1	11
GCF_000568695.2	11
GCF_003431845.1	11
GCF_019668525.1	11
GCF_019668565.1	11
GCF_027286105.1	11
GCF_004354445.2	11
GCF_002741845.3	11
GCF_000068585.1	11
GCF_000441615.1	11
GCF_000318825.1	11
GCF_000220105.1	11
GCF_027286165.1	11
GCF_027286185.1	11
GCF_004353465.2	11
GCF_019668545.1	11
GCF_000807295.1	11
GCF_017748085.1	11
GCF_001767415.1	11
GCF_004353385.2	11
GCF_009258445.1	11
GCF_019669025.1	11
GCF_019668585.1	11
GCF_000441655.1	11
GCF_001885175.1	11
GCF_002192615.1	11
GCF_019669005.1	11
GCF_009734065.1	11
GCF_019668925.1	11
GCF_004353405.1	11
GCF_019668645.1	11
GCF_027286225.1	11
GCF_019668505.1	11
GCF_000441675.1	11
GCF_004353425.2	11
GCF_019668685.1	11
GCF_019668625.1	11
GCF_002741765.2	11
GCF_009734045.1	11
GCF_000318885.1	11
GCF_004353445.2	11
GCF_027286125.1	11
GCF_027286005.1	11
GCF_027286145.1	11
GCF_002741665.3	11
GCF_000068525.2	11
GCF_002741805.2	11
GCF_000445425.4	11
GCF_027285985.1	11
